Specification of vegetation parameters
Veg-ID	Stomata_Resistance[s/m]	minsuction[hPa]	maxsuction[hPa]	height1[m]	height2[m]	height3[m]	height4[m]	rootdepth1[m]	rootdepth2[m]	rootdepth3[m]	rootdepth4[m]	LAI1[-]	LAI2[-]	LAI3[-]	LAI4[-]	albedo1[-]	albedo2[-]	albedo3[-]	albedo4[-]
1	195.0	2756.0	22000.0	1.8	1.8	1.8	1.8	1.71	1.71	1.71	1.71	1.9375	5.5875	3.2775	1.8375	0.24	0.24	0.24	0.24
3	229.0	1703.0	15000.0	3.76	3.76	3.76	3.76	1.67	1.67	1.67	1.67	3.15	3.15	3.15	3.15	0.26	0.26	0.26	0.26
9	195.0	2756.0	22000.0	1.8	1.8	1.8	1.8	1.71	1.71	1.71	1.71	1.9375	5.5875	3.2775	1.8375	0.24	0.24	0.24	0.24
10	30.2	250.0	8000.0	0.3	0.3	0.3	0.3	0.14	0.14	0.14	0.14	0.1	0.25	2.07	0.96	0.2	0.27	0.27	0.2
12	738.0	1176.0	11500.0	2.63	2.63	2.63	2.63	0.83	0.83	0.83	0.83	3.25	3.25	3.25	3.25	0.28	0.28	0.28	0.28
13	119.0	650.0	8000.0	5.13	5.13	5.13	5.13	2.05	2.05	2.05	2.05	5.64	5.64	5.64	5.64	0.2	0.26	0.26	0.2
16	119.0	650.0	8000.0	10.0	10.0	10.0	10.0	2.75	2.75	2.75	2.75	4.54	4.54	4.54	4.54	0.1	0.16	0.16	0.1
17	119.0	650.0	8000.0	7.57	7.57	7.57	7.57	2.16	2.16	2.16	2.16	2.27	2.27	2.27	2.27	0.15	0.19	0.19	0.15
18	400.6	650.0	8000.0	1.5	1.5	1.5	1.5	1.0	1.0	1.0	1.0	1.645	1.765	2.825	1.765	0.16	0.29	0.29	0.16
21	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	291.54	650.0	8000.0	0.3	0.3	0.3	0.3	0.14	0.93	0.93	0.93	0.4	0.4	0.4	0.4	0.19	0.27	0.27	0.19
50	770.0	613.0	8000.0	0.09	0.09	0.09	0.09	0.1	0.1	0.1	0.1	0.3675	0.3975	0.4575	0.6575	0.3	0.3	0.3	0.3
51	770.0	613.0	8000.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.5295	0.5295	0.5295	0.5295	0.3	0.3	0.3	0.3
